groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
3,11,2,19,2,practice,102,120,0.03,0.6,circle,stranger,f,j,0.234223500010557,0
3,11,2,19,2,practice,103,120,0.03,0.6,square,stranger,j,j,0.237637699930929,1
3,11,2,19,2,practice,104,120,0.03,0.6,square,self,f,j,0.273542799986899,0
3,11,2,19,2,practice,105,120,0.03,0.6,square,self,f,f,0.24239959998522,1
3,11,2,19,2,practice,106,120,0.03,0.6,circle,stranger,f,j,0.238106200005859,0
3,11,2,19,2,practice,107,120,0.03,0.6,circle,self,j,j,0.245073999976739,1
3,11,2,19,2,practice,108,120,0.03,0.6,square,stranger,j,j,0.233749500010163,1
3,11,2,19,2,practice,109,120,0.03,0.6,circle,self,j,j,0.242317899945192,1
3,11,2,19,2,practice,110,120,0.03,0.6,square,stranger,j,j,0.23406889999751,1
3,11,2,19,2,practice,111,120,0.03,0.6,square,self,f,j,0.23431279999204,0
3,11,2,19,2,practice,112,120,0.03,0.6,circle,stranger,f,j,0.244498300016858,0
3,11,2,19,2,practice,113,120,0.03,0.6,circle,stranger,f,f,0.234227500041015,1
3,11,2,19,2,practice,114,120,0.03,0.6,square,self,f,j,0.23448969994206,0
3,11,2,19,2,practice,115,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,practice,116,120,0.03,0.6,circle,self,j,j,0.265769699937664,1
3,11,2,19,2,practice,117,120,0.03,0.6,circle,stranger,f,j,0.272069600061513,0
3,11,2,19,2,practice,118,120,0.03,0.6,square,self,f,f,0.234172099968418,1
3,11,2,19,2,practice,119,120,0.03,0.6,square,stranger,j,j,0.234386299969628,1
3,11,2,19,2,practice,120,120,0.03,0.6,circle,self,j,j,0.234015800058842,1
3,11,2,19,2,formal,121,120,0.03,0.6,circle,stranger,f,j,0.377460499992594,0
3,11,2,19,2,formal,122,120,0.03,0.6,square,stranger,j,j,0.535166200017557,1
3,11,2,19,2,formal,123,120,0.03,0.6,circle,self,j,j,0.281166899949312,1
3,11,2,19,2,formal,124,120,0.03,0.6,square,self,f,j,0.31367429997772,0
3,11,2,19,2,formal,125,120,0.03,0.6,square,stranger,j,j,0.297288500005379,1
3,11,2,19,2,formal,126,120,0.03,0.6,circle,self,j,f,0.234615199966356,0
3,11,2,19,2,formal,127,120,0.03,0.6,circle,stranger,f,j,0.278803599998355,0
3,11,2,19,2,formal,128,120,0.03,0.6,square,self,f,j,0.234255900024436,0
3,11,2,19,2,formal,129,120,0.03,0.6,square,self,f,j,0.360756499925628,0
3,11,2,19,2,formal,130,120,0.03,0.6,circle,self,j,f,0.248496199958026,0
3,11,2,19,2,formal,131,120,0.03,0.6,square,stranger,j,j,0.265993100008927,1
3,11,2,19,2,formal,132,120,0.03,0.6,circle,stranger,f,j,0.233722000033595,0
3,11,2,19,2,formal,133,120,0.03,0.6,square,stranger,j,j,0.234148400020786,1
3,11,2,19,2,formal,134,120,0.03,0.6,circle,self,j,j,0.233962300000712,1
3,11,2,19,2,formal,135,120,0.03,0.6,square,self,f,j,0.233986500068568,0
3,11,2,19,2,formal,136,120,0.03,0.6,circle,stranger,f,f,0.23426199995447,1
3,11,2,19,2,formal,137,120,0.03,0.6,square,stranger,j,j,0.234583,1
3,11,2,19,2,formal,138,120,0.03,0.6,square,self,f,f,0.234200999955647,1
3,11,2,19,2,formal,139,120,0.03,0.6,circle,self,j,j,0.234188999980688,1
3,11,2,19,2,formal,140,120,0.03,0.6,circle,stranger,f,j,0.234227300039493,0
3,11,2,19,2,formal,141,120,0.03,0.6,square,stranger,j,f,0.234061599941924,0
3,11,2,19,2,formal,142,120,0.03,0.6,circle,stranger,f,j,0.234282299992628,0
3,11,2,19,2,formal,143,120,0.03,0.6,square,self,f,j,0.234307099948637,0
3,11,2,19,2,formal,144,120,0.03,0.6,circle,self,j,f,0.234195499913767,0
3,11,2,19,2,formal,145,120,0.03,0.6,square,self,f,j,0.234475299948826,0
3,11,2,19,2,formal,146,120,0.03,0.6,circle,stranger,f,j,0.3223245999543,0
3,11,2,19,2,formal,147,120,0.03,0.6,circle,self,j,f,0.23392829997465,0
3,11,2,19,2,formal,148,120,0.03,0.6,square,stranger,j,j,0.23445519991219,1
3,11,2,19,2,formal,149,120,0.03,0.6,circle,stranger,f,j,0.235006500035524,0
3,11,2,19,2,formal,150,120,0.03,0.6,square,self,f,j,0.234181799925864,0
3,11,2,19,2,formal,151,120,0.03,0.6,circle,self,j,j,0.23413520003669,1
3,11,2,19,2,formal,152,120,0.03,0.6,square,stranger,j,j,0.234168199938722,1
3,11,2,19,2,formal,153,120,0.03,0.6,circle,self,j,j,0.237484400044195,1
3,11,2,19,2,formal,154,120,0.03,0.6,square,stranger,j,j,0.23422019998543,1
3,11,2,19,2,formal,155,120,0.03,0.6,circle,stranger,f,j,0.233852899982594,0
3,11,2,19,2,formal,156,120,0.03,0.6,square,self,f,j,0.251442000037059,0
3,11,2,19,2,formal,157,120,0.03,0.6,circle,stranger,f,f,0.234254300012253,1
3,11,2,19,2,formal,158,120,0.03,0.6,circle,self,j,j,0.234462200081907,1
3,11,2,19,2,formal,159,120,0.03,0.6,square,self,f,j,0.234695399994962,0
3,11,2,19,2,formal,160,120,0.03,0.6,square,stranger,j,j,0.234196600038558,1
3,11,2,19,2,formal,161,120,0.03,0.6,square,stranger,j,j,0.234238000004552,1
3,11,2,19,2,formal,162,120,0.03,0.6,circle,self,j,j,0.234133700025268,1
3,11,2,19,2,formal,163,120,0.03,0.6,circle,stranger,f,j,0.233647000044584,0
3,11,2,19,2,formal,164,120,0.03,0.6,square,self,f,j,0.234238400007598,0
3,11,2,19,2,formal,165,120,0.03,0.6,square,self,f,f,0.257596999988891,1
3,11,2,19,2,formal,166,120,0.03,0.6,circle,stranger,f,j,0.23464589996729,0
3,11,2,19,2,formal,167,120,0.03,0.6,circle,self,j,j,0.234539199969731,1
3,11,2,19,2,formal,168,120,0.03,0.6,square,stranger,j,j,0.281450600014068,1
3,11,2,19,2,formal,169,120,0.03,0.6,circle,self,j,f,0.235412199981511,0
3,11,2,19,2,formal,170,120,0.03,0.6,circle,stranger,f,j,0.233485100092366,0
3,11,2,19,2,formal,171,120,0.03,0.6,square,stranger,j,j,0.234120200038888,1
3,11,2,19,2,formal,172,120,0.03,0.6,square,self,f,j,0.233898999984376,0
3,11,2,19,2,formal,173,120,0.03,0.6,square,stranger,j,j,0.30202309996821,1
3,11,2,19,2,formal,174,120,0.03,0.6,circle,self,j,j,0.234171799966134,1
3,11,2,19,2,formal,175,120,0.03,0.6,square,self,f,j,0.234145499998704,0
3,11,2,19,2,formal,176,120,0.03,0.6,circle,stranger,f,f,0.234266899991781,1
3,11,2,19,2,formal,177,120,0.03,0.6,circle,self,j,,NaN,0
3,11,2,19,2,formal,178,120,0.03,0.6,square,stranger,j,,NaN,0
3,11,2,19,2,formal,179,120,0.03,0.6,circle,stranger,f,,NaN,0
3,11,2,19,2,formal,180,120,0.03,0.6,square,self,f,j,0.234699300024658,0
3,11,2,19,2,formal,181,120,0.03,0.6,square,stranger,j,j,0.330168399959803,1
3,11,2,19,2,formal,182,120,0.03,0.6,circle,self,j,f,0.234505100059323,0
3,11,2,19,2,formal,183,120,0.03,0.6,circle,stranger,f,,NaN,0
3,11,2,19,2,formal,184,120,0.03,0.6,square,self,f,,NaN,0
3,11,2,19,2,formal,185,120,0.03,0.6,square,stranger,j,j,0.236972899991088,1
3,11,2,19,2,formal,186,120,0.03,0.6,circle,stranger,f,j,0.248874200042337,0
3,11,2,19,2,formal,187,120,0.03,0.6,square,self,f,j,0.234066399978474,0
3,11,2,19,2,formal,188,120,0.03,0.6,circle,self,j,j,0.234430399956182,1
3,11,2,19,2,formal,189,120,0.03,0.6,circle,self,j,j,0.235777199966833,1
3,11,2,19,2,formal,190,120,0.03,0.6,square,self,f,j,0.234098099987023,0
3,11,2,19,2,formal,191,120,0.03,0.6,circle,stranger,f,j,0.234510299982503,0
3,11,2,19,2,formal,192,120,0.03,0.6,square,stranger,j,j,0.234195900033228,1
3,11,2,19,2,formal,193,120,0.03,0.6,circle,stranger,f,f,0.234270500019193,1
3,11,2,19,2,formal,194,120,0.03,0.6,square,self,f,j,0.234222600003704,0
3,11,2,19,2,formal,195,120,0.03,0.6,square,stranger,j,j,0.234834400005639,1
3,11,2,19,2,formal,196,120,0.03,0.6,circle,self,j,j,0.234427800052799,1
3,11,2,19,2,formal,197,120,0.03,0.6,circle,stranger,f,j,0.233997699921019,0
3,11,2,19,2,formal,198,120,0.03,0.6,circle,self,j,j,0.233906300039962,1
3,11,2,19,2,formal,199,120,0.03,0.6,square,self,f,j,0.234441099921241,0
