subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
19,53,149,93,1177,1270,stranger,0.7934853673685943,3.5731414340829386,0.2,0.559731551883926,1.27,0
19,54,149,93,1177,1270,self,3.9939910150527864,3.5731414340829386,0.2,0.559731551883926,0.6580000000000004,1
19,55,149,93,1177,1270,self,3.324083562396038,3.5731414340829386,0.2,0.559731551883926,0.5660000000000003,1
19,56,149,93,1177,1270,stranger,1.4348884526632,3.5731414340829386,0.2,0.559731551883926,1.0350000000000006,1
19,57,149,93,1177,1270,stranger,0.8589594848172896,3.5731414340829386,0.2,0.559731551883926,1.6309999999999532,0
19,58,149,93,1177,1270,stranger,0.16814880765674145,3.5731414340829386,0.2,0.559731551883926,0.6820000000000004,0
19,59,149,93,1177,1270,stranger,1.417849779939873,3.5731414340829386,0.2,0.559731551883926,1.9089999999999225,1
19,60,149,93,1177,1270,self,2.9910169171195466,3.5731414340829386,0.2,0.559731551883926,1.0800000000000007,1
20,1,19,475,465,940,stranger,0.6365136494745852,2.6978690123664832,0.2,0.741325835625231,0.9400000000000001,0
20,2,19,475,465,940,self,5.39652352218824,2.6978690123664832,0.2,0.741325835625231,0.5080000000000002,1
20,3,19,475,465,940,stranger,1.4422184419026127,2.6978690123664832,0.2,0.741325835625231,1.0480000000000007,1
20,4,19,475,465,940,self,4.7817142852449015,2.6978690123664832,0.2,0.741325835625231,0.4790000000000002,1
20,5,19,475,465,940,stranger,1.0624643739626438,2.6978690123664832,0.2,0.741325835625231,0.8910000000000005,1
20,6,19,475,465,940,self,5.348369055250222,2.6978690123664832,0.2,0.741325835625231,0.6010000000000003,1
20,7,19,475,465,940,stranger,1.0149457334357057,2.6978690123664832,0.2,0.741325835625231,1.2020000000000004,1
20,8,19,475,465,940,stranger,0.7501202595847452,2.6978690123664832,0.2,0.741325835625231,0.9400000000000001,0
20,9,19,475,465,940,self,5.252146943742869,2.6978690123664832,0.2,0.741325835625231,0.4650000000000002,1
20,10,19,475,465,940,stranger,1.4259477161605965,2.6978690123664832,0.2,0.741325835625231,1.1010000000000006,1
20,11,19,475,465,940,stranger,0.9796037880011398,2.6978690123664832,0.2,0.741325835625231,0.6110000000000003,1
20,12,19,475,465,940,stranger,0.9640756436849208,2.6978690123664832,0.2,0.741325835625231,0.7800000000000005,1
20,13,19,475,465,940,stranger,0.9611148292341901,2.6978690123664832,0.2,0.741325835625231,0.9400000000000001,0
