subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
58,57,77,107,956,1063,self,3.244741936271192,3.867829234600664,0.2580478418289672,1.9050293546126376,0.9240478418289677,1
58,59,77,107,956,1063,self,3.9241258364306737,3.7084278440203624,0.2195220512130416,1.4104007037062662,1.0335220512130423,1
58,60,77,107,956,1063,stranger,1.0918087930138825,3.794062433744762,0.297406882884578,1.4325012603637728,0.9254068828845785,1
59,1,13,256,1008,1264,self,4.0647353519291896,2.4730695840428716,0.19304364378206723,1.8401049422499838,0.40004364378206736,1
59,2,13,256,1008,1264,stranger,1.351882582385935,2.9926472364481884,0.23592246648312154,0.7784375726471904,0.901922466483122,1
59,3,13,256,1008,1264,self,3.9070355308320637,3.4160120172546353,0.22134870302242388,1.9366161101328587,0.5603487030224241,1
59,5,13,256,1008,1264,self,4.023490477382917,4.349716628552116,0.26444009270172375,2.0385539990325063,0.9234400927017242,1
59,7,13,256,1008,1264,self,4.4972425202552335,3.519238644482601,0.2883655521067734,1.4846533831621322,0.7373655521067737,1
59,8,13,256,1008,1264,stranger,1.4948951166311448,4.595725267742878,0.24307905726325738,1.5924035234459035,0.9650790572632579,1
59,9,13,256,1008,1264,self,4.373321551169317,2.101916372255915,0.323686560296435,0.7191605573817177,0.5056865602964351,1
59,10,13,256,1008,1264,stranger,1.1501484601112373,3.692396261330164,0.2582296876346914,1.8817973347091215,1.001229687634692,1
59,11,13,256,1008,1264,self,4.280018044515054,0.5892743212200879,0.28336333811336223,0.5792743212200879,0.28736333811336223,1
59,12,13,256,1008,1264,stranger,1.251592750169163,2.359606698088853,0.2486278761369209,1.5900468990699825,1.0156278761369215,1
59,13,13,256,1008,1264,self,3.8012606914054388,3.416639887764083,0.27732896174754756,0.6056831119193335,1.1553289617475482,1
59,15,13,256,1008,1264,self,5.20103137162468,3.276740753089751,0.23801939827699858,1.3540199121259926,0.705019398276999,1
59,17,13,256,1008,1264,self,4.298907857513458,4.4633058491835005,0.3202005918174483,1.5074688735427735,0.7912005918174487,1
59,19,13,256,1008,1264,self,4.198655727591638,2.0978374948292466,0.2106241317922825,1.487269406709931,0.3826241317922826,1
59,21,13,256,1008,1264,self,4.014485682602367,4.210377281249621,0.24464293713218424,0.9845749020138093,1.0366429371321848,1
59,23,13,256,1008,1264,self,4.4615058135939165,2.4990373693888515,0.21006734821084416,1.6349809624045986,0.3690673482108443,1
59,25,13,256,1008,1264,self,3.764147272740633,2.8091880937304183,0.2535984899280994,1.6555145196635386,0.5985984899280996,1
59,26,13,256,1008,1264,stranger,1.0979319548589621,1.2498708209989347,0.3143518185312856,1.2398708209989346,0.3203518185312856,1
